price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_elevation,km_from_cbd
525000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4941569282136895,0.10087262829237051,0.20286792452830188,0.12301369863013699,0.19008264462809918,0.785077616424637
480000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.38898163606010017,0.08045792970939077,0.3333584905660377,0.09735159817351599,0.024793388429752067,0.6353530295443166
452000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2854757929883139,0.3929629333119846,0.3451320754716981,0.36575342465753424,0.6694214876033058,0.40030045067601405
550000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5208681135225376,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
535000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.46243739565943237,0.1011528300376271,0.42950943396226415,0.4452054794520548,0.2231404958677686,0.4382573860791187
495000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.48414023372287146,0.3929629333119846,0.3451320754716981,0.36575342465753424,0.6694214876033058,0.40030045067601405
410000,0.16666666666666666,0.3333333333333333,0.5,0.40984974958263776,0.18141061564326316,0.22347169811320755,0.3317808219178082,0.03305785123966942,0.7407110665998998
890000,0.3333333333333333,0.4444444444444444,0.5,0.5951585976627712,0.24585701705227764,0.5011320754716981,0.34785388127853883,0.2727272727272727,0.22193289934902355
533000,0.5,0.4444444444444444,0.3333333333333333,0.5784641068447413,0.23837162757185174,0.1920754716981132,0.21726027397260275,0.30578512396694213,0.39439158738107166
1120500,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.7529215358931552,0.31810903850772554,0.49230188679245285,0.4942465753424658,0.7603305785123967,0.20490736104156237
675000,0.5,0.3333333333333333,0.3333333333333333,0.21786310517529214,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.20310465698547825
500000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6585976627712855,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
473000,0.16666666666666666,0.3333333333333333,0.5,0.48330550918196996,0.3929629333119846,0.3451320754716981,0.36575342465753424,0.6694214876033058,0.40030045067601405
625000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.46160267111853087,0.08045792970939077,0.3333584905660377,0.09735159817351599,0.024793388429752067,0.6353530295443166
520000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5417362270450752,0.3929629333119846,0.3451320754716981,0.36575342465753424,0.6694214876033058,0.40030045067601405
555000,0.3333333333333333,0.4444444444444444,0.0,0.6227045075125208,0.1011528300376271,0.42950943396226415,0.4452054794520548,0.2231404958677686,0.4382573860791187
540000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5183639398998331,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
