price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_elevation,km_from_cbd,num_core_rooms,suburb_population_density
525000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4941569282136895,0.1008726282923705,0.2028679245283018,0.1230136986301369,0.1900826446280991,0.785077616424637,0.7777777777777777,0.82
480000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3889816360601001,0.0804579297093907,0.3333584905660377,0.0973515981735159,0.024793388429752,0.6353530295443166,0.7777777777777777,0.83
452000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.2854757929883139,0.3929629333119846,0.3451320754716981,0.3657534246575342,0.6694214876033058,0.400300450676014,0.4999999999999999,1.07
550000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5208681135225376,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.1983471074380165,0.4697045568352529,0.4999999999999999,0.31
535000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.4624373956594323,0.1011528300376271,0.4295094339622641,0.4452054794520548,0.2231404958677686,0.4382573860791187,0.4999999999999999,0.23
495000,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.4841402337228714,0.3929629333119846,0.3451320754716981,0.3657534246575342,0.6694214876033058,0.400300450676014,0.4999999999999999,1.07
410000,0.1666666666666666,0.3333333333333333,0.5,0.4098497495826377,0.1814106156432631,0.2234716981132075,0.3317808219178082,0.0330578512396694,0.7407110665998998,0.4999999999999999,0.55
890000,0.3333333333333333,0.4444444444444444,0.5,0.5951585976627712,0.2458570170522776,0.5011320754716981,0.3478538812785388,0.2727272727272727,0.2219328993490235,0.7777777777777777,0.71
533000,0.5,0.4444444444444444,0.3333333333333333,0.5784641068447413,0.2383716275718517,0.1920754716981132,0.2172602739726027,0.3057851239669421,0.3943915873810716,0.9444444444444444,1.1
1120500,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.7529215358931552,0.3181090385077255,0.4923018867924528,0.4942465753424658,0.7603305785123967,0.2049073610415623,0.7777777777777777,0.64
675000,0.5,0.3333333333333333,0.3333333333333333,0.2178631051752921,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.2031046569854782,0.8333333333333333,1.38
500000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.6585976627712855,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.1983471074380165,0.4697045568352529,0.4999999999999999,0.31
473000,0.1666666666666666,0.3333333333333333,0.5,0.4833055091819699,0.3929629333119846,0.3451320754716981,0.3657534246575342,0.6694214876033058,0.400300450676014,0.4999999999999999,1.07
625000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4616026711185308,0.0804579297093907,0.3333584905660377,0.0973515981735159,0.024793388429752,0.6353530295443166,0.7777777777777777,0.83
520000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5417362270450752,0.3929629333119846,0.3451320754716981,0.3657534246575342,0.6694214876033058,0.400300450676014,0.4999999999999999,1.07
555000,0.3333333333333333,0.4444444444444444,0.0,0.6227045075125208,0.1011528300376271,0.4295094339622641,0.4452054794520548,0.2231404958677686,0.4382573860791187,0.7777777777777777,0.23
540000,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5183639398998331,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.1983471074380165,0.4697045568352529,0.4999999999999999,0.31
2300000,0.5,0.5555555555555556,0.3333333333333333,0.4624373956594323,0.5810183331999039,0.4726792452830188,0.457351598173516,0.0495867768595041,0.0946419629444166,1.0555555555555556,1.27
940000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4657762938230384,0.1513089424385557,0.6237735849056604,0.0868493150684931,0.7272727272727273,0.3093640460691036,0.7777777777777777,1.74
695000,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.4574290484140234,0.2445360659674966,0.2205283018867924,1.0195433789954338,0.3553719008264462,0.2883324987481222,0.4999999999999999,0.24
670000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4624373956594323,0.0873428868785525,0.5864905660377359,0.1321461187214612,0.1487603305785124,0.4990485728592889,0.7777777777777777,0.66
557000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4624373956594323,0.1011528300376271,0.4295094339622641,0.4452054794520548,0.2231404958677686,0.4382573860791187,0.6666666666666666,0.23
558000,0.3333333333333333,0.4444444444444444,0.5,0.6419031719532554,0.0804579297093907,0.3333584905660377,0.0973515981735159,0.024793388429752,0.6353530295443166,0.7777777777777777,0.83
550000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5141903171953256,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.1983471074380165,0.4697045568352529,0.4999999999999999,0.31
2015000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4833055091819699,0.5810183331999039,0.4726792452830188,0.457351598173516,0.0495867768595041,0.0946419629444166,0.7777777777777777,1.27
936000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5909849749582637,0.3181090385077255,0.4923018867924528,0.4942465753424658,0.7603305785123967,0.2049073610415623,0.4999999999999999,0.64
712000,0.1666666666666666,0.3333333333333333,0.5,0.6310517529215359,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.2031046569854782,0.4999999999999999,1.38
1180000,0.5,0.4444444444444444,0.3333333333333333,0.5993322203672788,0.3181090385077255,0.4923018867924528,0.4942465753424658,0.7603305785123967,0.2049073610415623,0.9444444444444444,0.64
1670000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.666110183639399,0.1736850532383316,0.5747169811320755,0.3494977168949771,0.8677685950413223,0.1892839258888332,0.7777777777777777,0.5
1600000,0.1666666666666666,0.4444444444444444,0.0,0.1460767946577629,0.5847009847089905,0.8072452830188679,0.2324200913242009,0.256198347107438,0.0516775162744116,0.611111111111111,2.52
828000,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.4682804674457429,0.2445360659674966,0.2205283018867924,1.0195433789954338,0.3553719008264462,0.2883324987481222,0.6666666666666666,0.24
580000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5,0.3168681450644464,0.3892830188679245,0.7481278538812786,0.0826446280991735,0.5332999499248874,0.4999999999999999,0.42
1280000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2779632721202003,0.5810183331999039,0.4726792452830188,0.457351598173516,0.0495867768595041,0.0946419629444166,0.6666666666666666,1.27
930000,0.3333333333333333,0.4444444444444444,0.5,0.8998330550918197,0.408213914018093,0.124377358490566,0.2590867579908676,0.0909090909090909,0.2397596394591888,0.7777777777777777,1.58
710000,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5308848080133556,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.2031046569854782,0.4999999999999999,1.38
553000,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.6419031719532554,0.1011528300376271,0.4295094339622641,0.4452054794520548,0.2231404958677686,0.4382573860791187,0.4999999999999999,0.23
1180000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.6118530884808013,0.3181090385077255,0.4923018867924528,0.4942465753424658,0.7603305785123967,0.2049073610415623,0.7777777777777777,0.64
905000,0.3333333333333333,0.4444444444444444,0.1666666666666666,0.2303839732888147,0.4963974061324153,0.3814339622641509,0.4293150684931507,0.1487603305785124,0.2209313970956435,0.7777777777777777,1.16
750000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2404006677796327,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.2031046569854782,0.7777777777777777,1.38
1325000,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6151919866444073,0.3181090385077255,0.4923018867924528,0.4942465753424658,0.7603305785123967,0.2049073610415623,0.8888888888888888,0.64
1130000,0.1666666666666666,0.3333333333333333,0.0,0.7896494156928213,0.1516291730045632,0.4834716981132075,0.3305936073059361,0.0330578512396694,0.1693540310465698,0.4999999999999999,0.46
1039000,0.5,0.5555555555555556,0.3333333333333333,0.4732888146911519,0.1021535505564006,0.2146415094339622,0.259634703196347,0.0413223140495867,0.2323485227841763,1.0555555555555556,0.39
977000,0.1666666666666666,0.2222222222222222,0.0,0.1402337228714524,0.3241533904411176,0.7336603773584905,0.1129680365296803,0.3388429752066115,0.0584877315973961,0.38888888888888884,2.87
2300000,0.3333333333333333,0.4444444444444444,0.0,0.1101836393989983,0.3533344007685534,0.114566037735849,0.0464840182648401,0.1900826446280991,0.0175262894341512,0.7777777777777777,7.6
1500000,0.3333333333333333,0.4444444444444444,0.0,0.1460767946577629,0.5847009847089905,0.8072452830188679,0.2324200913242009,0.256198347107438,0.0516775162744116,0.7777777777777777,2.52
1400000,0.3333333333333333,0.3333333333333333,0.5,0.327212020033389,0.4240653270354655,0.3961509433962264,0.2178082191780822,0.2314049586776859,0.086329494241362,0.6666666666666666,1.95
1265000,0.1666666666666666,0.3333333333333333,0.0,0.1819699499165275,0.5847009847089905,0.8072452830188679,0.2324200913242009,0.256198347107438,0.0516775162744116,0.4999999999999999,2.52
